rank,niche_pattern,example_comp,channel_url,subs,avg_views,days,uploads_or_notes,evidence_source,status
1,Mega-engineering / overbuilt systems,Overengineered,https://youtube.com/channel/UCtrNrW5RTVzL7Tj07EExLKg,9.2K,1.03M,21,4 vids · strongest avg,NexLev farm 2026-09-20,KEEPER
2,Disaster / infrastructure,Kiln Studio,https://youtube.com/channel/UCKVJNt43vcgSiz-0AVDsYgA,3.1K,229K,21,,NexLev farm 2026-09-20,KEEPER
3,Ukraine tactical / conflict explainers,Moon Pulse,https://youtube.com/channel/UCDLAFlBXQIxXX_OwMhslh-g,18.3K,854K,31,Volatile · re-validate,NexLev farm 2026-09-20,VOLATILE
4,Aviation,Airspeed,https://youtube.com/channel/UCysUS3TjpBLsEPkp0NTV8FA,8.5K,292K,28,,NexLev farm 2026-09-20,KEEPER
5,Earth-science disaster,Critical Latitude,https://youtube.com/channel/UC-B_N99g4MMJbv4xQ4sJYxg,39.2K,197K,31,,NexLev farm 2026-09-20,KEEPER
6,Corporate misconduct,Fired Carl,https://youtube.com/channel/UCxNTCM-hErN9_FZvNilDU8Q,7.8K,131K,31,,NexLev farm 2026-09-20,KEEPER
7,Cold case true crime,Cold Cases Solved,https://youtube.com/channel/UCS-m03NzS2bjaVIMvohuipA,6.2K,36K,21,,NexLev farm 2026-09-20,KEEPER
8,Archaeology mysteries,Buried North America,https://youtube.com/channel/UCN9yxNeWds50vKxbbZGc2SQ,5.1K,56K,21,,NexLev farm 2026-09-20,KEEPER
9,Military aircraft history,Forgotten Planes,https://youtube.com/channel/UC77iDjv5dqfpEUE4cX2FIaw,2.5K,60K,28,,NexLev farm 2026-09-20,KEEPER
10,Mansion / luxury home docs,The Greatest Homes,https://youtube.com/channel/UCyqObBgxCK_SzG5Axz6LRyQ,2.3K,50K,28,,NexLev farm 2026-09-20,KEEPER
11,Earthquake history,Epicenter Files,https://youtube.com/channel/UC39F32yY4t7MwaNS2j3fq7w,3.2K,78K,31,,NexLev farm 2026-09-20,KEEPER
12,Prehistoric Earth,WEON Earth,https://youtube.com/channel/UCoMCQVuCK1wLUpM9Nfetb9Q,2.5K,41K,31,,NexLev farm 2026-09-20,KEEPER
13,Disappearances / missing persons,Silas Investigates,https://youtube.com/channel/UC-BWs8Kc2I87wrqb6CctM_w,4K,60K,31,,NexLev farm 2026-09-20,KEEPER
14,Deep ocean,The Unseen Earth,https://youtube.com/channel/UC3BTP2FmssM9YAt2QIe6u4A,2.5K,37K,28,,NexLev farm 2026-09-20,KEEPER
15,Senior health explainers,Dr. Elias Senior Health,https://youtube.com/channel/UCQcBYZxFW7YwNMU8-DsT3Uw,45.9K,146K,31,YMYL · eyes open,NexLev farm 2026-09-20,YMYL_CAUTION
16,Senior cardiology,Dr. Ares Senior,https://youtube.com/channel/UC356D-NzdnznBOftTpYoBLw,33.5K,106K,31,YMYL · eyes open,NexLev farm 2026-09-20,YMYL_CAUTION
17,Egypt daily life / ancient history,Ancient Egyptians,https://youtube.com/channel/UCUAy7-6tGMZz_Wy8SKeDTbg,12.8K,123K,31,,NexLev farm 2026-09-20,KEEPER
18,Forgotten resorts / lost places,The History Vault,https://youtube.com/channel/UC9ceLEG0VtDKfE5oj9u5SsA,5.3K,42K,31,,NexLev farm 2026-09-20,KEEPER
19,Semiconductors / business tech,PowerChip,https://youtube.com/channel/UCNkDjEOw0s9atGHkr1ahMxg,14.2K,97K,31,,NexLev farm 2026-09-20,KEEPER
20,Old-school trades,The Working Man's Code,https://youtube.com/channel/UCo7Ae1yNG-qICNH4H7cx48g,2.1K,~30K,31,,NexLev farm 2026-09-20,KEEPER
21,Volcano / disaster,Earth Alert,https://youtube.com/channel/UCpdjKlfaX2N0xJiLWKXsCZg,10.6K,33K,31,49 vids,NexLev farm 2026-09-20,KEEPER
22,Mafia history,The Mobcase,https://youtube.com/channel/UCg57UnyRNpKrjMUlquX0qxQ,3.7K,37K,31,,NexLev farm 2026-09-20,KEEPER
23,Interrogation documentaries,Uncut Interrogation,https://youtube.com/channel/UCL9dJYOmkZe_1_3ET-YEdcQ,6.8K,46K,31,,NexLev farm 2026-09-20,KEEPER
24,Mob-film / crime history,Ashes of Empires,https://youtube.com/channel/UCexp96qf60rGSKD9OcSY1Pw,1.7K,39K,31,,NexLev farm 2026-09-20,KEEPER
25,Cryptid / deep-sea mysteries,The Quiet Record,https://youtube.com/channel/UCHR33aJzt9_R1w9Z83kUBAQ,2.8K,59K,31,,NexLev farm 2026-09-20,KEEPER
26,Unexplained events,The Revealed,https://youtube.com/channel/UC0ij6mYMVgmK_7pl_ph6PWw,1.7K,48K,21,,NexLev farm 2026-09-20,KEEPER
27,Celeb-family dossiers / US history,American History: Exposed,https://youtube.com/channel/UCdgrYReTO6Q87D9AGMgZ8rg,3K,46K,21,,NexLev farm 2026-09-20,KEEPER
28,Travel infrastructure,Global Life Lens,https://youtube.com/channel/UCarhEwIqdYAmLTFamSTYbNg,10.8K,211K,31,,NexLev farm 2026-09-20,KEEPER
29,Dangerous places travel,Planet Travel TV,https://youtube.com/channel/UCJSNtGRYjv07B1MPftnYoxg,2K,30K,31,,NexLev farm 2026-09-20,KEEPER
30,Canadian housing,Mr Vista,https://youtube.com/channel/UCXIz7ldmgWV7M3XdkEm5Vqg,2.6K,38K,31,,NexLev farm 2026-09-20,KEEPER
